Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Antimicrobial resistance	Not Applicable	azithromycin measurement sign	azithromycin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	azithromycin measurement units	azithromycin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	azithromycin resistance phenotype	azithromycin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	azithromycin resistant breakpoint	azithromycin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	azithromycin susceptible breakpoint	azithromycin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	azithromycin testing standard	azithromycin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	azithromycin testing standard details	azithromycin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	azithromycin testing standard version	azithromycin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	azithromycin vendor name	azithromycin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	cefazolin intermediate breakpoint	cefazolin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	cefazolin laboratory typing method	cefazolin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	cefazolin laboratory typing platform	cefazolin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	cefazolin laboratory typing platform version	cefazolin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	cefazolin measurement	cefazolin_measurement		TRUE	The measured value of cefazolin resistance.	4
Antimicrobial resistance	Not Applicable	cefazolin measurement sign	cefazolin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	cefazolin measurement units	cefazolin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	cefazolin resistance phenotype	cefazolin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	cefazolin resistant breakpoint	cefazolin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	cefazolin susceptible breakpoint	cefazolin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	cefazolin testing standard	cefazolin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	cefazolin testing standard details	cefazolin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	cefazolin testing standard version	cefazolin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	cefazolin vendor name	cefazolin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	cefepime intermediate breakpoint	cefepime_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	cefepime laboratory typing method	cefepime_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	cefepime laboratory typing platform	cefepime_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	cefepime laboratory typing platform version	cefepime_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	cefepime measurement	cefepime_measurement		TRUE	The measured value of cefepime resistance.	4
Antimicrobial resistance	Not Applicable	cefepime measurement sign	cefepime_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	cefepime measurement units	cefepime_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	cefepime resistance phenotype	cefepime_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	cefepime resistant breakpoint	cefepime_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	cefepime susceptible breakpoint	cefepime_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	cefepime testing standard	cefepime_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	cefepime testing standard details	cefepime_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	cefepime testing standard version	cefepime_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	cefepime vendor name	cefepime_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	cefotaxime intermediate breakpoint	cefotaxime_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	cefotaxime laboratory typing method	cefotaxime_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	cefotaxime laboratory typing platform	cefotaxime_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	cefotaxime laboratory typing platform version	cefotaxime_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	cefotaxime measurement	cefotaxime_measurement		TRUE	The measured value of cefotaxime resistance.	4
Antimicrobial resistance	Not Applicable	cefotaxime measurement sign	cefotaxime_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	cefotaxime measurement units	cefotaxime_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	cefotaxime resistance phenotype	cefotaxime_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	cefotaxime resistant breakpoint	cefotaxime_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	cefotaxime susceptible breakpoint	cefotaxime_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	cefotaxime testing standard	cefotaxime_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	cefotaxime testing standard details	cefotaxime_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	cefotaxime testing standard version	cefotaxime_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	cefotaxime vendor name	cefotaxime_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid intermediate breakpoint	cefotaximeclavulanic_acid_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid laboratory typing method	cefotaximeclavulanic_acid_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid laboratory typing platform	cefotaximeclavulanic_acid_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid laboratory typing platform version	cefotaximeclavulanic_acid_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid measurement	cefotaximeclavulanic_acid_measurement		TRUE	The measured value of cefotaxime-clavulanic acid resistance.	4
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid measurement sign	cefotaximeclavulanic_acid_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid measurement units	cefotaximeclavulanic_acid_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid resistance phenotype	cefotaximeclavulanic_acid_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid resistant breakpoint	cefotaximeclavulanic_acid_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid susceptible breakpoint	cefotaximeclavulanic_acid_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid testing standard	cefotaximeclavulanic_acid_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid testing standard details	cefotaximeclavulanic_acid_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid testing standard version	cefotaximeclavulanic_acid_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	cefotaxime-clavulanic acid vendor name	cefotaximeclavulanic_acid_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	cefoxitin intermediate breakpoint	cefoxitin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	cefoxitin laboratory typing method	cefoxitin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	cefoxitin laboratory typing platform	cefoxitin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	cefoxitin laboratory typing platform version	cefoxitin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	cefoxitin measurement	cefoxitin_measurement		TRUE	The measured value of cefoxitin resistance.	4
Antimicrobial resistance	Not Applicable	cefoxitin measurement sign	cefoxitin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	cefoxitin measurement units	cefoxitin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	cefoxitin resistance phenotype	cefoxitin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
